dataset	method	trial	ml	score	time
heart	control	8	DecisionTreeClassifier	0.7	6.589542388916016
heart	control	6	DecisionTreeClassifier	0.77037037037	6.563765287399292
heart	control	9	LogisticRegression	0.837037037037	12.407373428344727
heart	control	1	LogisticRegression	0.837037037037	12.567523717880249
heart	control	8	LogisticRegression	0.814814814815	12.699769496917725
heart	control	9	DecisionTreeClassifier	0.777777777778	6.980417728424072
yacht	control	6	LassoLarsCV	0.959106829343	18.332739114761353
heart	control	2	DecisionTreeClassifier	0.811111111111	7.136205434799194
heart	control	1	DecisionTreeClassifier	0.766666666667	6.729015827178955
yacht	control	5	LassoLarsCV	0.966974978645	20.37922430038452

yacht	control	4	LassoLarsCV	0.818964385838	19.846583366394043
yacht	control	3	LassoLarsCV	0.974376566031	20.06736660003662
yacht	control	0	LassoLarsCV	0.925059137136	20.237791538238525
yacht	control	8	LassoLarsCV	0.968377429655	20.74584126472473
yacht	control	2	LassoLarsCV	0.94193040902	21.460026025772095
yacht	control	7	LassoLarsCV	0.901747695328	21.070783376693726
yacht	control	1	LassoLarsCV	0.93693376333	21.638078212738037
yacht	weight_parents	9	LassoLarsCV	0.961252607745	21.955749034881592
bc_clean	weight_parents	1	DecisionTreeClassifier	0.92096908939	9.6943039894104
bc_clean	control	0	DecisionTreeClassifier	0.910405643739	9.838363885879517
bc_clean	weight_parents	9	DecisionTreeClassifier	0.915640954237	10.089826822280884
bc_clean	weight_parents	6	DecisionTreeClassifier	0.894579040193	9.536227703094482
bc_clean	weight_parents	8	DecisionTreeClassifier	0.912122899842	9.697164297103882
bc_clean	weight_parents	2	DecisionTreeClassifier	0.906859741947	10.050562620162964
bc_clean	weight_parents	0	DecisionTreeClassifier	0.915659519168	10.582560062408447
bc_clean	weight_parents	7	DecisionTreeClassifier	0.919121878771	10.856171369552612
bc_clean	control	1	DecisionTreeClassifier	0.913923698134	10.935997247695923
bc_clean	weight_parents	3	DecisionTreeClassifier	0.892778241901	11.014914989471436
bc_clean	weight_parents	4	DecisionTreeClassifier	0.935013459575	10.924217700958252
bc_clean	control	2	DecisionTreeClassifier	0.891060985798	11.289918661117554
bc_clean	weight_parents	5	DecisionTreeClassifier	0.894495498004	11.232476234436035
bc_clean	weight_parents	9	LogisticRegression	0.96311148241	18.08105993270874
bc_clean	weight_parents	4	LogisticRegression	0.95960271048	17.81958031654358
bc_clean	weight_parents	3	LogisticRegression	0.970129026269	17.741074800491333
bc_clean	weight_parents	5	LogisticRegression	0.968365357839	18.397701501846313
bc_clean	weight_parents	1	LogisticRegression	0.968374640304	18.515265464782715
bc_clean	control	9	DecisionTreeClassifier	0.917395340202	9.905028581619263
bc_clean	control	3	DecisionTreeClassifier	0.917451034995	10.046996593475342
bc_clean	control	6	DecisionTreeClassifier	0.882196231319	10.06707501411438
bc_clean	control	5	DecisionTreeClassifier	0.901531606795	10.123020648956299
bc_clean	control	7	DecisionTreeClassifier	0.920931959528	10.340016603469849
bc_clean	weight_parents	2	LogisticRegression	0.970129026269	19.620933532714844
bc_clean	weight_parents	6	LogisticRegression	0.971874129769	19.73326301574707
bc_clean	weight_parents	7	LogisticRegression	0.970129026269	19.759530544281006
bc_clean	control	0	LogisticRegression	0.970129026269	19.855793952941895
bc_clean	weight_parents	8	LogisticRegression	0.973637798199	19.90270471572876
bc_clean	control	1	LogisticRegression	0.970129026269	20.037079334259033
bc_clean	weight_parents	0	LogisticRegression	0.970129026269	20.009891986846924
bc_clean	control	4	DecisionTreeClassifier	0.887459389214	11.145988702774048
bc_clean	control	8	DecisionTreeClassifier	0.906850459482	11.261110305786133
bc_clean	control	8	LogisticRegression	0.97365636313	17.8917977809906
bc_clean	control	4	LogisticRegression	0.975392184164	17.84122586250305
bc_clean	control	5	LogisticRegression	0.973637798199	17.926082134246826
bc_clean	control	2	LogisticRegression	0.95960271048	18.68783164024353
bc_clean	control	6	LogisticRegression	0.971883412234	19.22738480567932
bc_clean	control	3	LogisticRegression	0.970119743804	19.60840630531311
bc_clean	control	7	LogisticRegression	0.975392184164	19.494065523147583
bc_clean	control	9	LogisticRegression	0.95960271048	19.687235832214355
yeast	weight_parents	8	DecisionTreeClassifier	0.489244673455	21.660266399383545
yeast	weight_parents	2	DecisionTreeClassifier	0.477772325141	24.56665539741516
yeast	control	4	DecisionTreeClassifier	0.473062609905	24.469127416610718
yeast	weight_parents	7	DecisionTreeClassifier	0.476440518546	25.3149311542511
yeast	weight_parents	0	DecisionTreeClassifier	0.485178369389	26.20162296295166
yeast	weight_parents	4	DecisionTreeClassifier	0.463598195177	25.291249990463257
yeast	control	0	DecisionTreeClassifier	0.466988372252	25.84701132774353
yeast	weight_parents	3	DecisionTreeClassifier	0.475069180332	26.588857412338257
yeast	control	2	DecisionTreeClassifier	0.464292043239	27.554715156555176
yeast	weight_parents	5	DecisionTreeClassifier	0.49731866574	26.70061755180359
yeast	control	1	DecisionTreeClassifier	0.475761665235	28.399513006210327
yeast	weight_parents	9	DecisionTreeClassifier	0.456873730558	28.32773184776306
yeast	control	8	DecisionTreeClassifier	0.482507940403	24.00420379638672
