dataset	method	max_stall	trial	ml	score	time
heart	stall	10	8	LogisticRegression	0.825925925926	1.6341204643249512
heart	stall	10	2	DecisionTreeClassifier	0.766666666667	1.5274920463562012
heart	stall	10	1	DecisionTreeClassifier	0.737037037037	1.5720090866088867
heart	stall	10	5	DecisionTreeClassifier	0.807407407407	1.640307903289795
heart	stall	10	4	DecisionTreeClassifier	0.744444444444	1.7551567554473877
heart	stall	10	7	DecisionTreeClassifier	0.740740740741	1.333878517150879
heart	stall	10	8	DecisionTreeClassifier	0.748148148148	1.1539125442504883
yacht	stall	100	2	LassoLarsCV	0.916675341411	19.341894149780273
yacht	stall	100	3	LassoLarsCV	0.921659809326	20.255566596984863
bc_clean	stall	0	7	LogisticRegression	0.970129026269	0.17094206809997559
heart	stall	0	9	DecisionTreeClassifier	0.685185185185	0.04515528678894043
bc_clean	stall	0	4	LogisticRegression	0.970129026269	0.1671767234802246
bc_clean	stall	0	8	LogisticRegression	0.968365357839	0.18203139305114746
yacht	stall	100	0	LassoLarsCV	0.958102994	20.474241495132446
bc_clean	stall	0	3	LogisticRegression	0.970129026269	0.18075084686279297
bc_clean	stall	0	5	LogisticRegression	0.968365357839	0.17844176292419434
bc_clean	stall	0	2	LogisticRegression	0.968365357839	0.16833806037902832
bc_clean	stall	0	6	LogisticRegression	0.970129026269	0.19587302207946777
heart	stall	100	0	DecisionTreeClassifier	0.77037037037	6.238721609115601
bc_clean	stall	0	9	LogisticRegression	0.970129026269	0.1700727939605713
heart	stall	100	2	DecisionTreeClassifier	0.751851851852	6.485766172409058
heart	stall	100	1	DecisionTreeClassifier	0.8	6.18069314956665
heart	stall	100	6	DecisionTreeClassifier	0.748148148148	6.556132793426514
heart	stall	100	2	LogisticRegression	0.822222222222	12.242475271224976
bc_clean	stall	10	3	LogisticRegression	0.970119743804	2.2151432037353516
heart	stall	100	8	LogisticRegression	0.840740740741	12.026949882507324
bc_clean	stall	10	1	LogisticRegression	0.978910238559	2.280886650085449
heart	stall	100	9	LogisticRegression	0.814814814815	12.055418252944946
heart	stall	100	3	DecisionTreeClassifier	0.796296296296	6.886825323104858
bc_clean	stall	10	7	LogisticRegression	0.964865868375	2.130068063735962
bc_clean	stall	10	2	LogisticRegression	0.971874129769	2.129539966583252
bc_clean	stall	10	6	LogisticRegression	0.970129026269	2.0795516967773438
bc_clean	stall	10	4	LogisticRegression	0.968365357839	2.089390516281128
heart	stall	100	6	LogisticRegression	0.840740740741	12.60859489440918
bc_clean	stall	10	5	LogisticRegression	0.957848324515	2.315777063369751
heart	stall	100	7	LogisticRegression	0.811111111111	12.49040675163269
yacht	stall	100	1	LassoLarsCV	0.968547619399	19.383552312850952
heart	stall	100	4	LogisticRegression	0.844444444444	12.79250192642212
heart	stall	10	9	DecisionTreeClassifier	0.781481481481	1.7383418083190918
heart	stall	100	3	LogisticRegression	0.8	13.337899446487427
bc_clean	stall	10	0	LogisticRegression	0.961357096445	2.4402430057525635
bc_clean	stall	0	4	DecisionTreeClassifier	0.905040378725	0.07363438606262207
bc_clean	stall	0	2	DecisionTreeClassifier	0.912076487515	0.0746312141418457
heart	stall	100	0	LogisticRegression	0.833333333333	14.123912811279297
bc_clean	stall	0	0	DecisionTreeClassifier	0.910340666481	0.0799264907836914
bc_clean	stall	0	8	DecisionTreeClassifier	0.903276710294	0.07630300521850586
bc_clean	stall	0	3	DecisionTreeClassifier	0.910340666481	0.0751798152923584
bc_clean	stall	0	5	DecisionTreeClassifier	0.894486215539	0.07603025436401367
bc_clean	stall	0	6	DecisionTreeClassifier	0.892731829574	0.07897162437438965
yacht	stall	100	6	LassoLarsCV	0.928358240433	19.995879650115967
bc_clean	stall	0	7	DecisionTreeClassifier	0.912057922584	0.07599163055419922
heart	stall	100	5	DecisionTreeClassifier	0.759259259259	6.243455648422241
heart	stall	100	4	DecisionTreeClassifier	0.796296296296	6.761981010437012
yacht	stall	100	4	LassoLarsCV	0.981351200298	20.879754781723022
yacht	stall	100	5	LassoLarsCV	0.935213824136	20.847549438476562
yacht	stall	100	9	LassoLarsCV	0.915964229561	21.315839529037476
bc_clean	stall	0	0	LogisticRegression	0.970129026269	0.17523550987243652
yacht	stall	100	8	LassoLarsCV	0.853175264796	22.118825674057007
bc_clean	stall	10	9	LogisticRegression	0.973637798199	2.3772995471954346
bc_clean	stall	10	8	LogisticRegression	0.96662025434	2.772278308868408
heart	stall	100	8	DecisionTreeClassifier	0.774074074074	7.141273736953735
heart	stall	100	1	LogisticRegression	0.82962962963	11.783379316329956
heart	stall	100	9	DecisionTreeClassifier	0.811111111111	7.653567790985107
bc_clean	stall	0	1	LogisticRegression	0.970129026269	0.16512751579284668
