dataset	method	trial	ml	score	time
housing	control	3	LassoLarsCV	0.257531862121	24.083658695220947
housing	control	18	LassoLarsCV	-15.2857777705	25.305924654006958
housing	control	4	LassoLarsCV	0.135449278583	25.931827545166016
housing	lex_size	7	LassoLarsCV	0.193729536157	31.342583894729614
housing	control	10	LassoLarsCV	0.474999459216	25.874833822250366
housing	control	16	LassoLarsCV	0.36811650258	26.078622579574585
housing	lex_size	13	LassoLarsCV	0.364945011658	33.03934597969055
housing	control	0	LassoLarsCV	0.0487215710138	27.280237436294556
housing	control	11	LassoLarsCV	0.27825507661	27.513556003570557
housing	control	9	LassoLarsCV	0.172445457378	28.34630537033081
housing	lex_size	15	LassoLarsCV	0.246050314614	33.9507577419281
housing	lex_size	4	LassoLarsCV	0.0998025995788	34.46644639968872
housing	lex_size	12	LassoLarsCV	0.278630750056	34.68421769142151
housing	lex_size	19	LassoLarsCV	0.307259205961	35.21714162826538
housing	lex_size	16	LassoLarsCV	-148.140933232	35.08197021484375
housing	control	1	LassoLarsCV	0.364626790106	29.176097869873047
housing	lex_size	1	LassoLarsCV	0.245433323989	35.02315664291382
housing	lex_size	11	LassoLarsCV	-0.2385831213	35.38330841064453
housing	lex_size	8	LassoLarsCV	0.401512544696	35.59833002090454
housing	lex_size	17	LassoLarsCV	0.172749586845	36.15891766548157
housing	lex_size	10	LassoLarsCV	0.313390262446	35.47524571418762
housing	control	7	LassoLarsCV	0.402978567918	30.129655838012695
yacht	lex_size	16	DecisionTreeRegressor	0.986184469077	6.17075514793396
yacht	lex_size	12	DecisionTreeRegressor	0.98939901135	6.197699785232544
yacht	lex_size	0	DecisionTreeRegressor	0.988352610345	6.2268266677856445
yacht	lex_size	11	DecisionTreeRegressor	0.98778325073	5.980053901672363
yacht	lex_size	19	DecisionTreeRegressor	0.989298801691	6.3466761112213135
housing	control	17	LassoLarsCV	0.397626302576	31.234511375427246
yacht	lex_size	13	DecisionTreeRegressor	0.983942893689	6.137740850448608
yacht	lex_size	18	DecisionTreeRegressor	0.988213990293	6.248875617980957
yacht	lex_size	9	DecisionTreeRegressor	0.985873768965	6.259965658187866
yacht	lex_size	6	DecisionTreeRegressor	0.987492202377	6.357012033462524
yacht	lex_size	17	DecisionTreeRegressor	0.987434603235	6.43238377571106
housing	lex_size	9	LassoLarsCV	0.275291895946	37.27963042259216
yacht	lex_size	14	DecisionTreeRegressor	0.98811740245	6.653263330459595
yacht	lex_size	2	DecisionTreeRegressor	0.988293232656	6.7072155475616455
yacht	lex_size	7	DecisionTreeRegressor	0.987778575719	6.717397689819336
housing	lex_size	6	LassoLarsCV	0.198079514571	37.39894199371338
yacht	lex_size	5	DecisionTreeRegressor	0.9847125037	6.780472278594971
yacht	lex_size	10	DecisionTreeRegressor	0.967820810523	6.865108013153076
yacht	lex_size	1	DecisionTreeRegressor	0.986167066922	6.825293302536011
housing	control	2	LassoLarsCV	-3.18243113558	31.52197813987732
yacht	lex_size	3	DecisionTreeRegressor	0.988058701235	6.885745286941528
yacht	lex_size	8	DecisionTreeRegressor	0.991915026459	6.893659353256226
yacht	lex_size	4	DecisionTreeRegressor	0.98796344507	6.88128662109375
housing	lex_size	0	LassoLarsCV	0.314998670885	37.46236753463745
housing	lex_size	2	LassoLarsCV	0.182012382864	37.56202554702759
housing	lex_size	18	LassoLarsCV	0.190030342336	37.92807960510254
housing	control	5	LassoLarsCV	0.415256034143	32.339282512664795
yacht	lex_size	15	DecisionTreeRegressor	0.988078074122	6.910492897033691
housing	lex_size	5	LassoLarsCV	0.414838011559	38.99445056915283
housing	lex_size	14	LassoLarsCV	0.27615216239	39.024107694625854
housing	lex_size	3	LassoLarsCV	0.141167250189	39.50692892074585
yacht	control	17	DecisionTreeRegressor	0.989267079292	7.551871061325073
yacht	control	7	DecisionTreeRegressor	0.986991259816	7.313210964202881
yacht	control	5	DecisionTreeRegressor	0.987672267168	7.7265167236328125
yacht	control	14	DecisionTreeRegressor	0.989199341481	7.47952938079834
yacht	control	12	DecisionTreeRegressor	0.986163072353	7.8842878341674805
yacht	control	11	DecisionTreeRegressor	0.988412081074	7.58608865737915
yacht	control	16	DecisionTreeRegressor	0.986347825031	7.652320146560669
yacht	control	19	DecisionTreeRegressor	0.986420250267	8.177921533584595
yacht	control	0	DecisionTreeRegressor	0.988264407943	7.855712413787842
yacht	control	10	DecisionTreeRegressor	0.989727372213	8.006309986114502
